compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_147422	CHEBI_147422	1	1	human metabolite
Compound::CHEBI_74285	CHEBI_74285	1	0	
Compound::CHEBI_76044	CHEBI_76044	1	0	
Compound::CHEBI_18385	CHEBI_18385	1	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_145837	CHEBI_145837	1	0	
Compound::CHEBI_138121	CHEBI_138121	1	0	
Compound::CHEBI_133358	CHEBI_133358	1	0	
Compound::CHEBI_78907	CHEBI_78907	1	0	
Compound::CHEBI_137546	CHEBI_137546	1	0	
Compound::CHEBI_75620	CHEBI_75620	1	0	
Compound::CHEBI_157663	CHEBI_157663	1	0	
Compound::CHEBI_42090	CHEBI_42090	1	1	algal metabolite
Compound::CHEBI_132068	CHEBI_132068	1	0	
Compound::CHEBI_90392	CHEBI_90392	1	0	
Compound::CHEBI_16782	CHEBI_16782	1	0	
Compound::CHEBI_33190	CHEBI_33190	1	1	human metabolite
Compound::CHEBI_83248	CHEBI_83248	1	0	
Compound::CHEBI_75628	CHEBI_75628	1	0	
Compound::CHEBI_145182	CHEBI_145182	1	0	
Compound::CHEBI_74318	CHEBI_74318	1	0	
Compound::CHEBI_85302	CHEBI_85302	1	0	
Compound::CHEBI_82841	CHEBI_82841	1	0	
Compound::CHEBI_35287	CHEBI_35287	1	0	
Compound::CHEBI_75870	CHEBI_75870	1	0	
Compound::CHEBI_88764	CHEBI_88764	1	1	plant metabolite
Compound::CHEBI_606565	CHEBI_606565	1	1	human metabolite
Compound::CHEBI_83071	CHEBI_83071	1	0	
Compound::CHEBI_156458	CHEBI_156458	1	0	
Compound::CHEBI_75854	CHEBI_75854	1	0	
Compound::CHEBI_90732	CHEBI_90732	1	0	
Compound::CHEBI_78294	CHEBI_78294	1	0	
Compound::CHEBI_57340	CHEBI_57340	1	1	human metabolite
Compound::CHEBI_57398	CHEBI_57398	1	1	human metabolite
Compound::CHEBI_84346	CHEBI_84346	1	1	mouse metabolite
