compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_15378	CHEBI_15378	2070	0	
Compound::CHEBI_15377	CHEBI_15377	1156	6	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; amphiprotic solvent; greenhouse gas; human metabolite; mouse metabolite
Compound::CHEBI_30616	CHEBI_30616	976	3	cofactor; fundamental metabolite; human metabolite
Compound::CHEBI_456216	CHEBI_456216	861	2	fundamental metabolite; human metabolite
Compound::CHEBI_43474	CHEBI_43474	569	2	Saccharomyces cerevisiae metabolite; cofactor
Compound::CHEBI_18420	CHEBI_18420	547	1	cofactor
Compound::CHEBI_29999	CHEBI_29999	501	0	
Compound::CHEBI_30013	CHEBI_30013	477	0	
Compound::CHEBI_83421	CHEBI_83421	460	0	
Compound::CHEBI_61977	CHEBI_61977	447	0	
Compound::CHEBI_29105	CHEBI_29105	316	2	cofactor; human metabolite
Compound::CHEBI_29035	CHEBI_29035	260	1	cofactor
Compound::CHEBI_29108	CHEBI_29108	217	2	cofactor; human metabolite
Compound::CHEBI_15379	CHEBI_15379	212	8	Saccharomyces cerevisiae metabolite; anti-inflammatory drug; food packaging gas; human metabolite; micronutrient; nutrient; oxidising agent; reagent
Compound::CHEBI_46858	CHEBI_46858	209	0	
Compound::CHEBI_57287	CHEBI_57287	205	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_82620	CHEBI_82620	201	0	
Compound::CHEBI_33019	CHEBI_33019	196	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57540	CHEBI_57540	183	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen acceptor
Compound::CHEBI_59789	CHEBI_59789	147	1	cofactor
Compound::CHEBI_58349	CHEBI_58349	134	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen acceptor
Compound::CHEBI_57856	CHEBI_57856	134	0	
Compound::CHEBI_16526	CHEBI_16526	132	12	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; anaesthetic; antagonist; food packaging gas; food propellant; greenhouse gas; human metabolite; mouse metabolite; refrigerant; solvent; vasodilator agent
Compound::CHEBI_57783	CHEBI_57783	128	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen donor
Compound::CHEBI_456215	CHEBI_456215	127	3	cofactor; fundamental metabolite; human metabolite
Compound::CHEBI_58223	CHEBI_58223	126	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_29969	CHEBI_29969	123	0	
Compound::CHEBI_57945	CHEBI_57945	121	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; hydrogen donor
Compound::CHEBI_29033	CHEBI_29033	113	4	Saccharomyces cerevisiae metabolite; cofactor; human metabolite; mouse metabolite
Compound::CHEBI_57379	CHEBI_57379	107	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57692	CHEBI_57692	104	2	Saccharomyces cerevisiae metabolite; cofactor
Compound::CHEBI_58189	CHEBI_58189	98	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_37565	CHEBI_37565	98	1	human metabolite
Compound::CHEBI_7896	CHEBI_7896	94	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_28938	CHEBI_28938	84	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; cofactor; human metabolite
Compound::CHEBI_16810	CHEBI_16810	81	3	Saccharomyces cerevisiae metabolite; algal metabolite; human metabolite
Compound::CHEBI_29950	CHEBI_29950	78	0	
Compound::CHEBI_57288	CHEBI_57288	77	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_32395	CHEBI_32395	75	1	human metabolite
Compound::CHEBI_30823	CHEBI_30823	75	3	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; plant metabolite
Compound::CHEBI_30413	CHEBI_30413	75	2	metabolite; prosthetic group
Compound::CHEBI_58210	CHEBI_58210	71	4	Saccharomyces cerevisiae metabolite; coenzyme; cofactor; human metabolite
Compound::CHEBI_57643	CHEBI_57643	65	0	
Compound::CHEBI_30031	CHEBI_30031	65	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_28868	CHEBI_28868	63	0	
Compound::CHEBI_57387	CHEBI_57387	59	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57394	CHEBI_57394	58	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_597326	CHEBI_597326	56	3	Saccharomyces cerevisiae metabolite; cofactor; human metabolite
Compound::CHEBI_29985	CHEBI_29985	54	3	EC 6.3.1.2 (glutamate--ammonia ligase) inhibitor; Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_30879	CHEBI_30879	53	0	
Compound::CHEBI_57925	CHEBI_57925	53	3	Saccharomyces cerevisiae metabolite; cofactor; human metabolite
Compound::CHEBI_16240	CHEBI_16240	50	16	Escherichia coli metabolite; GABA antagonist; Saccharomyces cerevisiae metabolite; antimicrobial agent; apoptosis inducer; biomarker; bleaching agent; cofactor; disinfectant; emetic; explosive; genotoxin; human xenobiotic metabolite; mouse metabolite; neurotoxin; oxidising agent
Compound::CHEBI_57618	CHEBI_57618	50	2	Saccharomyces cerevisiae metabolite; cofactor
Compound::CHEBI_57385	CHEBI_57385	49	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_30089	CHEBI_30089	49	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_72998	CHEBI_72998	48	1	mouse metabolite
Compound::CHEBI_17815	CHEBI_17815	48	0	
Compound::CHEBI_60240	CHEBI_60240	47	0	
Compound::CHEBI_17154	CHEBI_17154	46	12	EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor; EC 3.5.1.98 (histone deacetylase) inhibitor; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; Sir2 inhibitor; anti-inflammatory agent; antioxidant; cofactor; human urinary metabolite; metabolite; mouse metabolite; neuroprotective agent
Compound::CHEBI_30245	CHEBI_30245	45	2	human blood serum metabolite; plant metabolite
Compound::CHEBI_58608	CHEBI_58608	45	0	
Compound::CHEBI_78442	CHEBI_78442	45	0	
Compound::CHEBI_58342	CHEBI_58342	42	0	
Compound::CHEBI_61930	CHEBI_61930	42	0	
Compound::CHEBI_58343	CHEBI_58343	40	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_61961	CHEBI_61961	40	0	
Compound::CHEBI_58168	CHEBI_58168	39	0	
Compound::CHEBI_57368	CHEBI_57368	38	1	human metabolite
Compound::CHEBI_58456	CHEBI_58456	38	0	
Compound::CHEBI_29034	CHEBI_29034	38	4	Escherichia coli metabolite; cofactor; human metabolite; mouse metabolite
Compound::CHEBI_57375	CHEBI_57375	37	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_49883	CHEBI_49883	37	1	cofactor
Compound::CHEBI_90779	CHEBI_90779	36	0	
Compound::CHEBI_16469	CHEBI_16469	36	6	Daphnia magna metabolite; EC 1.2.3.1 (aldehyde oxidase) inhibitor; estrogen; geroprotector; human metabolite; mouse metabolite
Compound::CHEBI_57705	CHEBI_57705	36	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_61560	CHEBI_61560	36	0	
Compound::CHEBI_17336	CHEBI_17336	35	3	human metabolite; mouse metabolite; plant metabolite
Compound::CHEBI_83833	CHEBI_83833	35	0	
Compound::CHEBI_83834	CHEBI_83834	35	0	
Compound::CHEBI_57880	CHEBI_57880	35	1	human metabolite
Compound::CHEBI_58339	CHEBI_58339	35	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_16113	CHEBI_16113	35	4	Daphnia galeata metabolite; algal metabolite; human metabolite; mouse metabolite
Compound::CHEBI_58052	CHEBI_58052	35	1	human metabolite
Compound::CHEBI_61557	CHEBI_61557	34	0	
Compound::CHEBI_15361	CHEBI_15361	34	2	cofactor; fundamental metabolite
Compound::CHEBI_74151	CHEBI_74151	33	0	
Compound::CHEBI_57383	CHEBI_57383	32	0	
Compound::CHEBI_60377	CHEBI_60377	32	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_67138	CHEBI_67138	32	0	
Compound::CHEBI_38290	CHEBI_38290	32	3	Daphnia magna metabolite; cofactor; human metabolite
Compound::CHEBI_61929	CHEBI_61929	31	0	
Compound::CHEBI_52639	CHEBI_52639	31	1	human metabolite
Compound::CHEBI_16842	CHEBI_16842	31	8	EC 3.5.1.4 (amidase) inhibitor; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; allergen; carcinogenic agent; disinfectant; environmental contaminant; mouse metabolite
Compound::CHEBI_17263	CHEBI_17263	31	5	antineoplastic agent; bone density conservation agent; estrogen; human metabolite; mouse metabolite
Compound::CHEBI_30807	CHEBI_30807	31	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_24875	CHEBI_24875	30	1	cofactor
Compound::CHEBI_74546	CHEBI_74546	30	0	
Compound::CHEBI_52333	CHEBI_52333	30	1	mouse metabolite
Compound::CHEBI_13193	CHEBI_13193	29	0	
Compound::CHEBI_57305	CHEBI_57305	29	0	
Compound::CHEBI_17499	CHEBI_17499	29	0	
Compound::CHEBI_64612	CHEBI_64612	29	0	
Compound::CHEBI_25629	CHEBI_25629	28	3	Saccharomyces cerevisiae metabolite; human metabolite; plant metabolite
Compound::CHEBI_72999	CHEBI_72999	28	2	mouse metabolite; surfactant
Compound::CHEBI_57386	CHEBI_57386	28	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57930	CHEBI_57930	27	0	
Compound::CHEBI_18262	CHEBI_18262	27	2	Saccharomyces cerevisiae metabolite; plant metabolite
Compound::CHEBI_17754	CHEBI_17754	27	8	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; algal metabolite; detergent; human metabolite; mouse metabolite; osmolyte; solvent
Compound::CHEBI_61430	CHEBI_61430	27	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_73001	CHEBI_73001	27	1	mouse metabolite
Compound::CHEBI_4167	CHEBI_4167	26	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_17898	CHEBI_17898	26	3	gap junctional intercellular communication inhibitor; human metabolite; mouse metabolite
Compound::CHEBI_73004	CHEBI_73004	25	0	
Compound::CHEBI_57967	CHEBI_57967	25	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_74544	CHEBI_74544	25	0	
Compound::CHEBI_77016	CHEBI_77016	25	1	human metabolite
Compound::CHEBI_50058	CHEBI_50058	25	0	
Compound::CHEBI_61976	CHEBI_61976	24	0	
Compound::CHEBI_57371	CHEBI_57371	24	1	human metabolite
Compound::CHEBI_57756	CHEBI_57756	24	1	human metabolite
Compound::CHEBI_17544	CHEBI_17544	24	5	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; cofactor; human metabolite; mouse metabolite
Compound::CHEBI_48828	CHEBI_48828	24	1	cofactor
Compound::CHEBI_16042	CHEBI_16042	23	0	
Compound::CHEBI_57518	CHEBI_57518	23	0	
Compound::CHEBI_142491	CHEBI_142491	23	0	
Compound::CHEBI_17347	CHEBI_17347	23	4	Daphnia magna metabolite; androgen; human metabolite; mouse metabolite
Compound::CHEBI_57380	CHEBI_57380	23	0	
Compound::CHEBI_58165	CHEBI_58165	23	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17792	CHEBI_17792	23	0	
Compound::CHEBI_25646	CHEBI_25646	23	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_60344	CHEBI_60344	22	2	Saccharomyces cerevisiae metabolite; cofactor
Compound::CHEBI_29965	CHEBI_29965	22	0	
Compound::CHEBI_62620	CHEBI_62620	22	0	
Compound::CHEBI_16330	CHEBI_16330	22	4	Daphnia magna metabolite; androgen; human metabolite; mouse metabolite
Compound::CHEBI_66914	CHEBI_66914	22	0	
Compound::CHEBI_58115	CHEBI_58115	22	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_61526	CHEBI_61526	22	1	human metabolite
Compound::CHEBI_203600	CHEBI_203600	22	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57746	CHEBI_57746	21	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_16870	CHEBI_16870	21	6	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite; neuroprotective agent; parasympatholytic
Compound::CHEBI_132367	CHEBI_132367	21	0	
Compound::CHEBI_58359	CHEBI_58359	21	1	metabolite
Compound::CHEBI_16422	CHEBI_16422	21	4	Daphnia magna metabolite; androgen; human metabolite; mouse metabolite
Compound::CHEBI_74411	CHEBI_74411	21	0	
Compound::CHEBI_29067	CHEBI_29067	21	0	
Compound::CHEBI_132368	CHEBI_132368	21	0	
Compound::CHEBI_57597	CHEBI_57597	21	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57262	CHEBI_57262	21	0	
Compound::CHEBI_58178	CHEBI_58178	20	1	human metabolite
Compound::CHEBI_87075	CHEBI_87075	20	1	epitope
Compound::CHEBI_53604	CHEBI_53604	20	1	epitope
Compound::CHEBI_17968	CHEBI_17968	20	3	EC 3.5.1.98 (histone deacetylase) inhibitor; human metabolite; metabolite
Compound::CHEBI_29991	CHEBI_29991	20	2	fundamental metabolite; human metabolite
Compound::CHEBI_65315	CHEBI_65315	20	0	
Compound::CHEBI_57844	CHEBI_57844	20	0	
Compound::CHEBI_53753	CHEBI_53753	20	2	Caenorhabditis elegans metabolite; plant metabolite
Compound::CHEBI_83400	CHEBI_83400	20	0	
Compound::CHEBI_29973	CHEBI_29973	20	0	
Compound::CHEBI_57970	CHEBI_57970	19	1	human metabolite
Compound::CHEBI_17478	CHEBI_17478	19	0	
Compound::CHEBI_61540	CHEBI_61540	19	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57683	CHEBI_57683	19	1	human metabolite
Compound::CHEBI_73003	CHEBI_73003	19	1	mouse metabolite
Compound::CHEBI_58043	CHEBI_58043	19	0	
Compound::CHEBI_33384	CHEBI_33384	19	0	
Compound::CHEBI_65052	CHEBI_65052	19	0	
Compound::CHEBI_16452	CHEBI_16452	18	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_27689	CHEBI_27689	18	3	Saccharomyces cerevisiae metabolite; human metabolite; plant metabolite
Compound::CHEBI_18035	CHEBI_18035	18	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_82748	CHEBI_82748	18	0	
Compound::CHEBI_28610	CHEBI_28610	18	0	
Compound::CHEBI_58088	CHEBI_58088	18	1	human metabolite
Compound::CHEBI_64496	CHEBI_64496	18	1	metabolite
Compound::CHEBI_49601	CHEBI_49601	18	0	
Compound::CHEBI_73316	CHEBI_73316	18	0	
Compound::CHEBI_17996	CHEBI_17996	17	3	Escherichia coli metabolite; cofactor; human metabolite
Compound::CHEBI_37563	CHEBI_37563	17	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_23378	CHEBI_23378	17	1	cofactor
Compound::CHEBI_17026	CHEBI_17026	17	5	contraceptive drug; human metabolite; mouse metabolite; progesterone receptor agonist; progestin
Compound::CHEBI_64839	CHEBI_64839	17	0	
Compound::CHEBI_73990	CHEBI_73990	17	0	
Compound::CHEBI_73009	CHEBI_73009	17	0	
Compound::CHEBI_58297	CHEBI_58297	17	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17855	CHEBI_17855	17	0	
Compound::CHEBI_75342	CHEBI_75342	17	1	plant metabolite
Compound::CHEBI_29961	CHEBI_29961	17	0	
Compound::CHEBI_57973	CHEBI_57973	16	1	human metabolite
Compound::CHEBI_17976	CHEBI_17976	16	2	Escherichia coli metabolite; mouse metabolite
Compound::CHEBI_57817	CHEBI_57817	16	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_31014	CHEBI_31014	16	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17120	CHEBI_17120	16	2	human metabolite; plant metabolite
Compound::CHEBI_29103	CHEBI_29103	16	2	cofactor; human metabolite
Compound::CHEBI_83828	CHEBI_83828	16	0	
Compound::CHEBI_58885	CHEBI_58885	16	0	
Compound::CHEBI_57392	CHEBI_57392	16	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57812	CHEBI_57812	16	1	human metabolite
Compound::CHEBI_73002	CHEBI_73002	16	0	
Compound::CHEBI_58562	CHEBI_58562	16	1	human metabolite
Compound::CHEBI_52392	CHEBI_52392	16	1	human metabolite
Compound::CHEBI_142540	CHEBI_142540	15	0	
Compound::CHEBI_15354	CHEBI_15354	15	9	Daphnia magna metabolite; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; allergen; human metabolite; mouse metabolite; neurotransmitter; nutrient; plant metabolite
Compound::CHEBI_138102	CHEBI_138102	15	0	
Compound::CHEBI_16389	CHEBI_16389	15	2	Escherichia coli metabolite; mouse metabolite
Compound::CHEBI_35291	CHEBI_35291	15	1	human metabolite
Compound::CHEBI_15994	CHEBI_15994	15	1	mouse metabolite
Compound::CHEBI_57453	CHEBI_57453	15	2	cofactor; human metabolite
Compound::CHEBI_73008	CHEBI_73008	15	0	
Compound::CHEBI_58388	CHEBI_58388	15	0	
Compound::CHEBI_58053	CHEBI_58053	14	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_58307	CHEBI_58307	14	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57875	CHEBI_57875	14	0	
Compound::CHEBI_57634	CHEBI_57634	14	1	fundamental metabolite
Compound::CHEBI_73858	CHEBI_73858	14	2	apoptosis inducer; mouse metabolite
Compound::CHEBI_133507	CHEBI_133507	14	0	
Compound::CHEBI_58937	CHEBI_58937	14	1	cofactor
Compound::CHEBI_57405	CHEBI_57405	14	1	human metabolite
Compound::CHEBI_57384	CHEBI_57384	14	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_132124	CHEBI_132124	13	0	
Compound::CHEBI_32682	CHEBI_32682	13	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_78272	CHEBI_78272	13	0	
Compound::CHEBI_1156	CHEBI_1156	13	1	human metabolite
Compound::CHEBI_77091	CHEBI_77091	13	0	
Compound::CHEBI_82961	CHEBI_82961	13	0	
Compound::CHEBI_57836	CHEBI_57836	13	1	human metabolite
Compound::CHEBI_57603	CHEBI_57603	13	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_75466	CHEBI_75466	13	1	mouse metabolite
Compound::CHEBI_59776	CHEBI_59776	13	0	
Compound::CHEBI_295975	CHEBI_295975	13	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_75728	CHEBI_75728	13	0	
Compound::CHEBI_28744	CHEBI_28744	13	5	carcinogenic agent; human metabolite; metabolite; mouse metabolite; prodrug
Compound::CHEBI_57292	CHEBI_57292	13	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_74269	CHEBI_74269	12	0	
Compound::CHEBI_78273	CHEBI_78273	12	0	
Compound::CHEBI_68546	CHEBI_68546	12	0	
Compound::CHEBI_28689	CHEBI_28689	12	3	androgen; human metabolite; mouse metabolite
Compound::CHEBI_606564	CHEBI_606564	12	2	human metabolite; oxytocic
Compound::CHEBI_75757	CHEBI_75757	12	0	
Compound::CHEBI_60119	CHEBI_60119	12	1	human metabolite
Compound::CHEBI_58315	CHEBI_58315	12	0	
Compound::CHEBI_61548	CHEBI_61548	12	1	human metabolite
Compound::CHEBI_2700	CHEBI_2700	12	3	human blood serum metabolite; neurotransmitter; vasodilator agent
Compound::CHEBI_65314	CHEBI_65314	12	0	
Compound::CHEBI_17636	CHEBI_17636	12	0	
Compound::CHEBI_76079	CHEBI_76079	12	0	
Compound::CHEBI_83139	CHEBI_83139	12	0	
Compound::CHEBI_24646	CHEBI_24646	12	0	
Compound::CHEBI_35235	CHEBI_35235	12	0	
Compound::CHEBI_57446	CHEBI_57446	12	1	human metabolite
Compound::CHEBI_43176	CHEBI_43176	12	0	
Compound::CHEBI_57795	CHEBI_57795	12	1	human metabolite
Compound::CHEBI_36713	CHEBI_36713	11	2	Daphnia magna metabolite; human metabolite
Compound::CHEBI_18390	CHEBI_18390	11	1	human metabolite
Compound::CHEBI_85452	CHEBI_85452	11	0	
Compound::CHEBI_57286	CHEBI_57286	11	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_30909	CHEBI_30909	11	0	
Compound::CHEBI_131964	CHEBI_131964	11	0	
Compound::CHEBI_57658	CHEBI_57658	11	1	human metabolite
Compound::CHEBI_57972	CHEBI_57972	11	0	
Compound::CHEBI_57560	CHEBI_57560	11	0	
Compound::CHEBI_17950	CHEBI_17950	11	2	human metabolite; mouse metabolite
Compound::CHEBI_16032	CHEBI_16032	11	7	androgen; anticonvulsant; human blood serum metabolite; human metabolite; human urinary metabolite; mouse metabolite; pheromone
Compound::CHEBI_67140	CHEBI_67140	11	0	
Compound::CHEBI_131965	CHEBI_131965	11	0	
Compound::CHEBI_17160	CHEBI_17160	11	2	estrogen; geroprotector
Compound::CHEBI_75158	CHEBI_75158	11	0	
Compound::CHEBI_52323	CHEBI_52323	11	0	
Compound::CHEBI_50342	CHEBI_50342	11	0	
Compound::CHEBI_90726	CHEBI_90726	11	0	
Compound::CHEBI_72959	CHEBI_72959	11	2	Mycoplasma genitalium metabolite; human blood serum metabolite
Compound::CHEBI_83099	CHEBI_83099	11	0	
Compound::CHEBI_30011	CHEBI_30011	11	0	
Compound::CHEBI_136412	CHEBI_136412	10	0	
Compound::CHEBI_22801	CHEBI_22801	10	0	
Compound::CHEBI_58017	CHEBI_58017	10	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_74617	CHEBI_74617	10	0	
Compound::CHEBI_57865	CHEBI_57865	10	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_175763	CHEBI_175763	10	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17006	CHEBI_17006	10	1	mouse metabolite
Compound::CHEBI_73007	CHEBI_73007	10	0	
Compound::CHEBI_57444	CHEBI_57444	10	1	human metabolite
Compound::CHEBI_44811	CHEBI_44811	10	5	antihypertensive agent; beta-adrenergic antagonist; bronchoconstrictor agent; hematologic agent; vasodilator agent
Compound::CHEBI_16382	CHEBI_16382	10	1	human metabolite
Compound::CHEBI_15636	CHEBI_15636	10	2	cofactor; human metabolite
Compound::CHEBI_46398	CHEBI_46398	10	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_140626	CHEBI_140626	10	0	
Compound::CHEBI_71466	CHEBI_71466	10	2	EC 3.5.1.23 (ceramidase) inhibitor; PPARalpha agonist
Compound::CHEBI_78097	CHEBI_78097	10	0	
Compound::CHEBI_78568	CHEBI_78568	10	0	
Compound::CHEBI_36707	CHEBI_36707	10	0	
Compound::CHEBI_33738	CHEBI_33738	10	0	
Compound::CHEBI_57349	CHEBI_57349	10	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_75945	CHEBI_75945	10	0	
Compound::CHEBI_87602	CHEBI_87602	10	3	carcinogenic agent; estrogen; human urinary metabolite
Compound::CHEBI_74565	CHEBI_74565	10	0	
Compound::CHEBI_32372	CHEBI_32372	10	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17509	CHEBI_17509	10	5	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; algal metabolite; human metabolite; mouse metabolite
Compound::CHEBI_57450	CHEBI_57450	10	1	human metabolite
Compound::CHEBI_58211	CHEBI_58211	10	0	
Compound::CHEBI_33737	CHEBI_33737	10	0	
Compound::CHEBI_74986	CHEBI_74986	9	0	
Compound::CHEBI_58272	CHEBI_58272	9	2	fundamental metabolite; human metabolite
Compound::CHEBI_72961	CHEBI_72961	9	1	mouse metabolite
Compound::CHEBI_57912	CHEBI_57912	9	0	
Compound::CHEBI_128769	CHEBI_128769	9	4	Saccharomyces cerevisiae metabolite; epitope; human metabolite; phosphoantigen
Compound::CHEBI_134178	CHEBI_134178	9	0	
Compound::CHEBI_57454	CHEBI_57454	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_72745	CHEBI_72745	9	0	
Compound::CHEBI_58289	CHEBI_58289	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_78445	CHEBI_78445	9	0	
Compound::CHEBI_76078	CHEBI_76078	9	0	
Compound::CHEBI_33853	CHEBI_33853	9	0	
Compound::CHEBI_57273	CHEBI_57273	9	0	
Compound::CHEBI_15740	CHEBI_15740	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_58702	CHEBI_58702	9	1	fundamental metabolite
Compound::CHEBI_58601	CHEBI_58601	9	2	fundamental metabolite; human metabolite
Compound::CHEBI_62845	CHEBI_62845	9	1	metabolite
Compound::CHEBI_57905	CHEBI_57905	9	1	human metabolite
Compound::CHEBI_46898	CHEBI_46898	9	1	mouse metabolite
Compound::CHEBI_58433	CHEBI_58433	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_83767	CHEBI_83767	9	0	
Compound::CHEBI_57632	CHEBI_57632	9	1	human metabolite
Compound::CHEBI_64381	CHEBI_64381	9	0	
Compound::CHEBI_507393	CHEBI_507393	9	0	
Compound::CHEBI_59560	CHEBI_59560	9	4	coenzyme; cofactor; diagnostic agent; human metabolite
Compound::CHEBI_57404	CHEBI_57404	9	1	human metabolite
Compound::CHEBI_57642	CHEBI_57642	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_75735	CHEBI_75735	9	0	
Compound::CHEBI_57466	CHEBI_57466	9	1	human metabolite
Compound::CHEBI_57604	CHEBI_57604	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17616	CHEBI_17616	9	3	Escherichia coli metabolite; antioxidant; human xenobiotic metabolite
Compound::CHEBI_57834	CHEBI_57834	9	2	fundamental metabolite; human metabolite
Compound::CHEBI_37721	CHEBI_37721	9	0	
Compound::CHEBI_57410	CHEBI_57410	9	0	
Compound::CHEBI_65059	CHEBI_65059	9	0	
Compound::CHEBI_57529	CHEBI_57529	9	0	
Compound::CHEBI_57895	CHEBI_57895	9	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_17272	CHEBI_17272	9	1	human metabolite
Compound::CHEBI_72859	CHEBI_72859	9	0	
Compound::CHEBI_78346	CHEBI_78346	9	0	
Compound::CHEBI_61405	CHEBI_61405	8	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_58190	CHEBI_58190	8	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_90725	CHEBI_90725	8	0	
Compound::CHEBI_139493	CHEBI_139493	8	0	
Compound::CHEBI_72841	CHEBI_72841	8	0	
Compound::CHEBI_14649	CHEBI_14649	8	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_45479	CHEBI_45479	8	1	human metabolite
Compound::CHEBI_77580	CHEBI_77580	8	0	
Compound::CHEBI_17268	CHEBI_17268	8	8	Daphnia magna metabolite; EC 3.1.4.11 (phosphoinositide phospholipase C) inhibitor; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; compatible osmolytes; human metabolite; mouse metabolite; nutrient
Compound::CHEBI_58130	CHEBI_58130	8	3	Saccharomyces cerevisiae metabolite; cofactor; human metabolite
Compound::CHEBI_34310	CHEBI_34310	8	3	biomarker; human blood serum metabolite; mouse metabolite
Compound::CHEBI_17319	CHEBI_17319	8	3	Escherichia coli metabolite; human metabolite; mouse metabolite
